Timestamp (ms),Timestamp,Speaker,Transcript,Showing （1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
259405,00:04:19.405,m,the going to bed book,0,,0,,1,book,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,2,0,,
262528,00:04:22.528,m,yeah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
263008,00:04:23.8,m,are you comfy here?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
263568,00:04:23.568,m,or should we go to the couch?,0,,0,,1,couch,,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,1,0,,,,,1,1,,
266357,00:04:26.357,m,yeah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
266775,00:04:26.775,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
268891,00:04:28.891,m,hmm,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
285738,00:04:45.738,m,you okay?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
287938,00:04:47.938,m,you okay,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
288432,00:04:48.432,m,Buck?,0,,0,,1,buck,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
301410,00:05:01.410,m,you alright?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
348828,00:05:48.828,m,more books?,0,,0,,1,books,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
516640,00:08:36.640,m,no,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
517184,00:08:37.184,m,um,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
522726,00:08:42.726,m,do you wanna read more?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
523304,00:08:43.304,m,or do you wanna play?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
527826,00:08:47.826,m,what is this?,0,,0,,0,,,,,,1,this,,,,,,,0,1,mittenbook,,,,,,,0,0,,,,,0,2,,
535170,00:08:55.170,m,[sigh],0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
535272,00:08:55.272,m,the mitten,0,,0,,1,mitten,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
538026,00:08:58.26,m,once,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
678606,00:11:18.606,m,do you want more books?,0,,0,,1,books,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
679558,00:11:19.558,m,or do you wanna play with your ball?,0,,0,,1,ball,,,,,2,you,your,,,,,,1,1,child,childsball,,,,,,1,1,,,,,1,2,,
684114,00:11:24.114,m,mm,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
684896,00:11:24.896,m,no?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
686698,00:11:26.698,m,more books,0,,0,,1,books,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
687650,00:11:27.650,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
690676,00:11:30.676,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
692104,00:11:32.104,m,let's put these books back here,0,,0,,1,books,,,,,1,these,,,,,,,1,0,book,,,,,,,1,1,,,,,1,1,,
694960,00:11:34.960,m,and then,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
697068,00:11:37.68,m,we could read the books from the box,0,,0,,1,books,box,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,1,0,,,,,2,1,,
702066,00:11:42.66,m,are you singing a song Buck?,0,,0,,2,song,buck,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
704476,00:11:44.476,m,what song are you singing?,0,,0,,1,song,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
708322,00:11:48.322,m,owl is not a song,0,,0,,2,owl,song,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,2,0,,
716618,00:11:56.618,m,those xxx?,0,,0,,0,,,,,,1,those,,,,,,,0,1,basket,,,,,,,0,0,,,,,0,1,,
718930,00:11:58.930,m,let's,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
721866,00:12:01.866,m,do you do you want mommy to pick the books?,0,,0,,1,books,,,,,2,you,you,,,,,,0,2,child,child,,,,,,1,0,,,,,2,2,,
723248,00:12:03.248,m,or do you wanna pick the books?,0,,0,,1,books,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
724948,00:12:04.948,m,mama pick em,0,,0,,1,mama,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
727686,00:12:07.686,m,should we do,0,,0,,0,,,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,0,0,,,,,0,1,,
728008,00:12:08.8,m,holy moly,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
731817,00:12:11.817,m,um,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
731884,00:12:11.884,m,Bug,0,,0,,1,bug,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
734060,00:12:14.60,m,can you put it back please?,0,,0,,0,,,,,,2,you,it,,,,,,0,2,child,book,,,,,,0,0,,,,,0,2,,
736916,00:12:16.916,m,you wanna read that book?,0,,0,,1,book,,,,,2,you,that,,,,,,1,1,child,hollymollybook,,,,,,1,1,,,,,1,1,,
738514,00:12:18.514,m,we already read it today,0,,0,,0,,,,,,2,we,it,,,,,,0,2,motherandchild,book,,,,,,0,0,,,,,1,2,,
742662,00:12:22.662,m,this one,0,,0,,1,one,,,,,1,this,,,,,,,1,0,carbook,,,,,,,1,1,,,,,1,0,,
744362,00:12:24.362,m,that's enough for now?,0,,0,,0,,,,,,1,that,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
745212,00:12:25.212,m,should we start with this one?,0,,0,,1,one,,,,,2,we,this,,,,,,1,1,motherandchild,carbook,,,,,,1,1,,,,,0,1,,
747252,00:12:27.252,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
748136,00:12:28.136,m,let's,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
748680,00:12:28.680,m,let's go on the couch and read it with me,0,,0,,1,couch,,,,,2,it,me,,,,,,0,2,carbook,mother,,,,,,1,0,,,,,1,3,,
759016,00:12:39.16,m,you're gonna put your drink over there?,0,,0,,1,drink,,,,,2,you,your,,,,,,1,1,child,childsdrink,,,,,,1,1,,,,,1,2,,
761090,00:12:41.90,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
810764,00:13:30.764,m,do you need tissue?,0,,0,,1,tissue,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
812600,00:13:32.600,m,ya,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
814164,00:13:34.164,m,do you wanna get it?,0,,0,,0,,,,,,2,you,it,,,,,,0,2,child,tissue,,,,,,0,0,,,,,0,2,,
816102,00:13:36.102,m,you want me to read it?,0,,0,,0,,,,,,3,you,me,it,,,,,0,3,child,mother,book,,,,,0,0,,,,,0,3,,
823038,00:13:43.38,m,booger?,0,,0,,1,booger,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
824092,00:13:44.92,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
824534,00:13:44.534,m,I'll get it,0,,0,,0,,,,,,2,i,it,,,,,,0,2,mother,tissue,,,,,,0,0,,,,,0,2,,
828036,00:13:48.36,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
846362,00:14:06.362,m,blow,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
849626,00:14:09.626,m,can you blow hard?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
851428,00:14:11.428,m,did we get it all?,0,,0,,0,,,,,,2,we,it,,,,,,0,2,motherandchild,booger,,,,,,0,0,,,,,0,3,,
854280,00:14:14.280,m,boogers,0,,0,,1,boogers,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
934422,00:15:34.422,m,hey,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
934898,00:15:34.898,m,we're on this page,0,,0,,1,page,,,,,1,we,this,,,,,,1,1,motherandchild,bookpage,,,,,,1,1,,,,,1,1,,
941392,00:15:41.392,m,are you all done reading this book?,0,,0,,1,book,,,,,2,you,this,,,,,,1,1,child,carbook,,,,,,1,1,,,,,1,2,,
1017382,00:16:57.382,m,potty book?,0,,0,,1,pottybook,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
1026528,00:17:06.528,m,I think you pushed the button,0,,0,,1,button,,,,,2,i,you,,,,,,0,2,mother,child,,,,,,1,0,,,,,1,2,,
1028261,00:17:08.261,m,oh no,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
1029145,00:17:09.145,m,it works again,0,,0,,0,,,,,,1,it,,,,,,,0,1,bookbutton,,,,,,,0,0,,,,,0,1,,
1030574,00:17:10.574,m,it wasn't working yesterday,0,,0,,0,,,,,,1,it,,,,,,,0,1,bookbutton,,,,,,,0,0,,,,,1,1,,
1077358,00:17:57.358,m,it it was broken,0,,0,,0,,,,,,1,it,,,,,,,0,1,bookbutton,,,,,,,0,0,,,,,0,2,,
1078174,00:17:58.174,m,it seems like it's fixed now,0,,0,,0,,,,,,2,it,it,,,,,,0,2,bookbutton,bookbutton,,,,,,0,0,,,,,0,2,,
1080486,00:18:00.486,m,it might just be breaking,0,,0,,0,,,,,,1,it,,,,,,,0,1,bookbutton,,,,,,,0,0,,,,,0,1,,
1083750,00:18:03.750,m,more potty book?,0,,0,,1,pottybook,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
