Timestamp (ms),Timestamp,Speaker,Transcript,Showing（1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
117436,00:01:57.436,m,big what?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
122264,00:02:02.264,m,[laughing],0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
122910,00:02:02.910,m,are you saying hi?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
126480,00:02:06.480,m,legs up,0,,0,,1,legs,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
128996,00:02:08.996,m,good girl,0,,0,,1,girl,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
133824,00:02:13.824,m,yeah,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
135082,00:02:15.82,m,what did you dream about,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,2,,
138856,00:02:18.856,m,mmm?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
141100,00:02:21.100,m,are you hungry?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
143786,00:02:23.786,m,legs up,0,,0,,1,legs,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
145350,00:02:25.350,m,good job,0,,0,,1,job,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
151232,00:02:31.232,m,who's on the phone?,0,,0,,1,phone,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,1,,
153612,00:02:33.612,m,mommy is where?,0,,0,,1,mommy,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
154836,00:02:34.836,m,where is mommy?,0,,0,,1,mommy,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
156536,00:02:36.536,m,wait,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
158372,00:02:38.372,m,who was here last night?,0,,0,,1,night,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,1,,
160752,00:02:40.752,m,what's that?,0,,0,,0,,,,,,1,that,,,,,,,0,1,video,,,,,,,0,0,,,,,0,2,,
163948,00:02:43.948,m,a video?,0,,0,,1,video,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
165784,00:02:45.784,m,okay,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
169864,00:02:49.864,m,do you want to keep your pajamas onor off?,0,,0,,1,pajamas,,,,,2,you,your,,,,,,1,1,child,pajamas,,,,,,1,1,,,,,1,2,,
