Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
1328210,00:22:08.210,m,6?,0,,,,,,0,,,,,,,,0,0,,
1330896,00:22:10.896,m,alright,0,,,,,,0,,,,,,,,0,0,,
1331406,00:22:11.406,m,thank you,0,,,,,,0,,,,,,,,0,1,,
1370812,00:22:50.812,m,you have to clip it,0,,,,,,2,you,it,,,,,,0,2,,
1372302,00:22:52.302,m,oop no,0,,,,,,0,,,,,,,,0,1,,
1374722,00:22:54.722,m,thank you,0,,,,,,0,,,,,,,,0,1,,
1445510,00:24:05.510,m,you are welcome,0,,,,,,1,you,,,,,,,0,1,,
1449862,00:24:09.862,m,there you go buddy,1,buddy,,,,,1,you,,,,,,,1,1,,
1550366,00:25:50.366,m,can you take a bite please?,1,bite,,,,,1,you,,,,,,,1,1,,
1552678,00:25:52.678,m,thank you,0,,,,,,0,,,,,,,,0,1,,
1558764,00:25:58.764,m,pen?,1,pen,,,,,0,,,,,,,,1,0,,
1559376,00:25:59.376,m,you want me to clip it?,0,,,,,,3,you,me,it,,,,,0,3,,
1562059,00:26:02.59,m,here you go,0,,,,,,1,you,,,,,,,0,1,,
1567196,00:26:07.196,m,[clear throat],0,,,,,,0,,,,,,,,1,0,,
1600846,00:26:40.846,m,it's okay,0,,,,,,0,,,,,,,,0,1,,
1607758,00:26:47.758,m,what?,0,,,,,,0,,,,,,,,0,1,,
1610614,00:26:50.614,m,here,0,,,,,,0,,,,,,,,0,0,,
1611381,00:26:51.381,m,put this aside,0,,,,,,1,this,,,,,,,0,1,,
1612110,00:26:52.110,m,get another one,1,one,,,,,0,,,,,,,,1,0,,
1613708,00:26:53.708,m,[signs],0,,,,,,0,,,,,,,,1,0,,
1614184,00:26:54.184,m,what's that,0,,,,,,1,that,,,,,,,0,2,,
1616462,00:26:56.462,m,go ahead,0,,,,,,0,,,,,,,,0,0,,
1617142,00:26:57.142,m,color that one,1,one,,,,,1,that,,,,,,,1,0,,
1622684,00:27:02.684,m,yellow,1,yellow,,,,,0,,,,,,,,0,0,,
1625154,00:27:05.154,m,yellow,1,yellow,,,,,0,,,,,,,,0,0,,
1628192,00:27:08.192,m,orange,1,orange,,,,,0,,,,,,,,0,0,,
1633224,00:27:13.224,m,yellow,1,yellow,,,,,0,,,,,,,,0,0,,
1654270,00:27:34.270,m,it's papa?,1,papa,,,,,1,it,,,,,,,0,1,,
1654916,00:27:34.916,m,that's not papa,1,papa,,,,,1,that,,,,,,,0,1,,
1657500,00:27:37.500,m,that's not dada,1,dada,,,,,1,that,,,,,,,1,1,,
1663858,00:27:43.858,m,reindeer,1,reindeer,,,,,0,,,,,,,,1,0,,
1666204,00:27:46.204,m,a reindeer,1,reindeer,,,,,0,,,,,,,,1,0,,
1681334,00:28:01.334,m,yeah,0,,,,,,0,,,,,,,,0,0,,
1752802,00:29:12.802,m,pur,0,,,,,,0,,,,,,,,0,0,,
1753788,00:29:13.788,m,purple,1,purple,,,,,0,,,,,,,,1,0,,
1754672,00:29:14.672,m,good job,0,,,,,,0,,,,,,,,1,0,,
1761438,00:29:21.438,m,xxx kind looks good buddy,1,buddy,,,,,0,,,,,,,,2,0,,
1767184,00:29:27.184,m,yeah,0,,,,,,0,,,,,,,,0,0,,
1767728,00:29:27.728,m,looks a good prominent color,1,color,,,,,0,,,,,,,,1,0,,
1782178,00:29:42.178,m,that's blue you are right,1,blue,,,,,2,that,you,,,,,,0,2,,
1785408,00:29:45.408,m,and red,1,red,,,,,0,,,,,,,,0,0,,
1799110,00:29:59.110,m,you want me to sit,0,,,,,,2,you,me,,,,,,0,2,,
1805774,00:30:05.774,m,thank you,0,,,,,,0,,,,,,,,0,1,,
1820564,00:30:20.564,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
1822536,00:30:22.536,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
1825766,00:30:25.766,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
1828350,00:30:28.350,m,good job,0,,,,,,0,,,,,,,,1,0,,
1829812,00:30:29.812,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
1831750,00:30:31.750,m,yellow,1,yellow,,,,,0,,,,,,,,0,0,,
1833586,00:30:33.586,m,yellow,1,yellow,,,,,0,,,,,,,,0,0,,
1835252,00:30:35.252,m,circle,1,circle,,,,,0,,,,,,,,0,0,,
