Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4
169626,00:02:49.626,m,hmm,0,,,,,0,,,,
170374,00:02:50.374,m,here,0,,,,,0,,,,
170952,00:02:50.952,m,so,0,,,,,0,,,,
174522,00:02:54.522,m,you want to keep playing with that?,0,,,,,2,you,that,,
175678,00:02:55.678,m,okay,0,,,,,0,,,,
179282,00:02:59.282,m,yeah?,0,,,,,0,,,,
180302,00:03:00.302,m,okay,0,,,,,0,,,,
182138,00:03:02.138,m,[laughing],0,,,,,0,,,,
183906,00:03:03.906,m,[kissing],0,,,,,0,,,,
184620,00:03:04.620,m,love you,0,,,,,1,you,,,
191046,00:03:11.46,m,good job,0,,,,,0,,,,
193324,00:03:13.324,m,look at these,0,,,,,1,these,,,
195976,00:03:15.976,m,yeah,0,,,,,0,,,,
201042,00:03:21.42,m,you want this?,0,,,,,2,you,this,,
203116,00:03:23.116,m,okay I am going to put this right here,0,,,,,2,i,this,,
204272,00:03:24.272,m,in case it doesn't spill,0,,,,,1,it,,,
218008,00:03:38.8,m,you know where this goes?,0,,,,,2,you,this,,
239666,00:03:59.666,m,nice,0,,,,,0,,,,
249016,00:04:09.16,m,good job,0,,,,,0,,,,
260372,00:04:20.372,m,look at that,0,,,,,1,that,,,
272170,00:04:32.170,m,it's pretty good,0,,,,,1,it,,,
275910,00:04:35.910,m,[adult babble],0,,,,,0,,,,
278120,00:04:38.120,m,okay,0,,,,,0,,,,
278800,00:04:38.800,m,thank you,0,,,,,1,you,,,
283050,00:04:43.50,m,yes,0,,,,,0,,,,
283526,00:04:43.526,m,thank you so much,0,,,,,1,you,,,
286688,00:04:46.688,m,thank you,0,,,,,1,you,,,
290156,00:04:50.156,m,thank you,0,,,,,1,you,,,
291142,00:04:51.142,m,wait where's the others?,0,,,,,0,,,,
293284,00:04:53.284,m,oh,0,,,,,0,,,,
299234,00:04:59.234,m,egg shell?,1,eggshell,,,,0,,,,
302668,00:05:02.668,m,alright,0,,,,,0,,,,
305626,00:05:05.626,m,thank you,0,,,,,1,you,,,
306306,00:05:06.306,m,I am going to put them right here okay?,0,,,,,2,i,them,,
307802,00:05:07.802,m,so we don't lose them,0,,,,,2,we,them,,
310624,00:05:10.624,m,uhoh,0,,,,,0,,,,
311746,00:05:11.746,m,it fell,0,,,,,1,it,,,
326944,00:05:26.944,m,[laughing],0,,,,,0,,,,
329154,00:05:29.154,m,thanks,0,,,,,0,,,,
336702,00:05:36.702,m,what do you want to do with this now hmm?,0,,,,,2,you,this,,
341734,00:05:41.734,m,you want to put these in?,0,,,,,2,you,these,,
362610,00:06:02.610,m,okay,0,,,,,0,,,,
363970,00:06:03.970,m,put this like this,0,,,,,2,this,this,,
365024,00:06:05.24,m,look,0,,,,,0,,,,
366078,00:06:06.78,m,remember what we talked about?,0,,,,,1,we,,,
367472,00:06:07.472,m,with the square?,1,square,,,,0,,,,
369342,00:06:09.342,m,no?,0,,,,,0,,,,
372742,00:06:12.742,m,what?,0,,,,,0,,,,
374680,00:06:14.680,m,you want to put them where you want?,0,,,,,3,you,them,you,
376346,00:06:16.346,m,that's fine,0,,,,,1,that,,,
377672,00:06:17.672,m,you could do that too,0,,,,,2,you,that,,
385832,00:06:25.832,m,here you go,0,,,,,1,you,,,
401710,00:06:41.710,m,[gasping],0,,,,,0,,,,
404430,00:06:44.430,m,[laughing],0,,,,,0,,,,
405348,00:06:45.348,m,[gasping],0,,,,,0,,,,
406980,00:06:46.980,m,[laughing],0,,,,,0,,,,
410108,00:06:50.108,m,[laughing],0,,,,,0,,,,
414086,00:06:54.86,m,that's yours,0,,,,,2,that,yours,,
