Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
59568,00:00:59.568,m,you don't want to do anything now?,1,you,,,,,1,you,,,,,,,0,2,,
61642,00:01:01.642,m,you don't want to do nothing now?,1,you,,,,,1,you,,,,,,,0,2,,
62832,00:01:02.832,m,you don't want to show off?,1,you,,,,,1,you,,,,,,,0,1,,
64736,00:01:04.736,m,you don't want to show off you xxx.,2,you,you,,,,2,you,you,,,,,,0,2,,
68170,00:01:08.170,m,sh,0,,,,,,0,,,,,,,,0,1,,
69870,00:01:09.870,m,every time he likes to be,1,he,,,,,1,he,,,,,,,1,1,,
70414,00:01:10.414,m,alright,0,,,,,,0,,,,,,,,0,0,,
70856,00:01:10.856,m,you do it,2,you,it,,,,2,you,it,,,,,,0,2,,
76364,00:01:16.364,m,xxx,0,,,,,,0,,,,,,,,0,0,,
81940,00:01:21.940,m,whooh,0,,,,,,0,,,,,,,,0,0,,
82178,00:01:22.178,m,what about your bike?,1,bike,,,,,1,your,,,,,,,1,2,0.772203641768859,0.88034188034188
82790,00:01:22.790,m,you want to try your bike?,1,bike,,,,,2,you,your,,,,,,1,2,,
91086,00:01:31.86,m,nice,0,,,,,,0,,,,,,,,0,0,,
91732,00:01:31.732,m,Marciano knows how to ride bike,2,marciano,bike,,,,0,,,,,,,,1,0,,
99518,00:01:39.518,m,xxx,0,,,,,,0,,,,,,,,0,0,,
106284,00:01:46.284,m,whoah,0,,,,,,0,,,,,,,,0,0,,
108562,00:01:48.562,m,look at that,0,,,,,,1,that,,,,,,,0,1,,
117130,00:01:57.130,m,yeah,0,,,,,,0,,,,,,,,0,0,,
117470,00:01:57.470,m,Marciano go inside,1,marciano,,,,,0,,,,,,,,0,0,,
146336,00:02:26.336,m,look at you,0,,,,,,1,you,,,,,,,0,1,,
146880,00:02:26.880,m,ride your bike,1,bike,,,,,1,your,,,,,,,1,1,,
161398,00:02:41.398,m,you are sitting down,0,,,,,,1,you,,,,,,,0,1,,
162452,00:02:42.452,m,where do you want to sit?,0,,,,,,1,you,,,,,,,0,1,,
164594,00:02:44.594,m,so go ahead,0,,,,,,0,,,,,,,,0,0,,
165172,00:02:45.172,m,go sit over there,0,,,,,,0,,,,,,,,0,0,,
175780,00:02:55.780,m,go ahead,0,,,,,,0,,,,,,,,0,0,,
176188,00:02:56.188,m,baby sit,1,baby,,,,,0,,,,,,,,1,0,,
180404,00:03:00.404,m,no you can't play a game,1,game,,,,,1,you,,,,,,,1,1,,
181662,00:03:01.662,m,that's not your tablet,1,tablet,,,,,2,that,your,,,,,,1,2,,
182512,00:03:02.512,m,that's her tablet,1,tablet,,,,,2,that,her,,,,,,1,2,,
188088,00:03:08.88,m,you can't play on the tablet because that's the work.,2,tablet,work,,,,2,you,that,,,,,,2,2,,
193664,00:03:13.664,m,but that's for work,1,work,,,,,1,that,,,,,,,1,1,,
194820,00:03:14.820,m,you see?,0,,,,,,1,you,,,,,,,0,1,,
195738,00:03:15.738,m,she says she's sorry,0,,,,,,2,she,she,,,,,,0,2,,
196656,00:03:16.656,m,you can't play with that one,1,one,,,,,2,you,that,,,,,,0,1,,
199002,00:03:19.2,m,okay?,0,,,,,,0,,,,,,,,0,0,,
202266,00:03:22.266,m,I'm s/orry,0,,,,,,1,i,,,,,,,1,1,,
202708,00:03:22.708,m,I'm,0,,,,,,1,i,,,,,,,0,1,,
203558,00:03:23.558,m,Mommy don't like the tablet really for you.,2,mommy,tablet,,,,1,you,,,,,,,1,1,,
205428,00:03:25.428,m,you have too many toys.,1,toys,,,,,1,you,,,,,,,1,1,,
206448,00:03:26.448,m,how about you play with the trampoline?,1,trampoline,,,,,1,you,,,,,,,1,1,,
207366,00:03:27.366,m,let's see what you can do,0,,,,,,1,you,,,,,,,0,3,,
208046,00:03:28.46,m,come on,0,,,,,,0,,,,,,,,0,0,,
209168,00:03:29.168,m,show Grandma in the court,2,grandma,court,,,,0,,,,,,,,1,0,,
210256,00:03:30.256,m,where's my,0,,,,,,1,my,,,,,,,0,1,,
212126,00:03:32.126,m,go,0,,,,,,0,,,,,,,,0,0,,
212330,00:03:32.330,m,let's see,0,,,,,,0,,,,,,,,0,1,,
212976,00:03:32.976,m,jump up and down,0,,,,,,0,,,,,,,,0,0,,
