Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Nouns_Spacy,Pronoun_Spacy,,
107599,00:01:47.599,m,what color?,1,color,,,,0,,,,,1,0,,
109616,,c,green,,,,,,,,,,,,,,
110705,00:01:50.705,m,green that's right get it,1,green,,,,2,that,it,,,0,0,,
111588,,c,c,,,,,,,,,,,,,,
115566,00:01:55.566,m,yeah,0,,,,,0,,,,,1,0,,
116348,00:01:56.348,m,you got it,0,,,,,2,you,it,,,1,0,,
117198,00:01:57.198,m,yay,0,,,,,0,,,,,0,0,,
117980,,c,yay,,,,,,,,,,,,,,
119422,00:01:59.422,m,okay let's put the milk away,1,milk,,,,0,,,,,1,0,,
121261,00:02:01.261,m,and we'll do it,0,,,,,2,we,it,,,1,0,,
121550,,c,Mama,,,,,,,,,,,,,,
122808,00:02:02.808,m,oh you want the milk?,1,milk,,,,1,you,,,,0,0,,
123454,00:02:03.454,m,okay alright forget it,0,,,,,1,it,,,,1,1,,
124406,,c,c,,,,,,,,,,,,,,
125867,00:02:05.867,m,okay you want to do a picnic?,1,picnic,,,,1,you,,,,1,0,,
128463,00:02:08.463,m,let's do a picnic,1,picnic,,,,0,,,,,0,0,,
131016,00:02:11.16,m,alrighty,0,,,,,0,,,,,0,2,,
132804,00:02:12.804,m,now,0,,,,,0,,,,,1,0,,
134981,00:02:14.981,m,here we have,0,,,,,1,we,,,,0,0,,
137768,00:02:17.768,m,our picnic,1,picnic,,,,1,our,,,,0,2,,
139196,,c,c,,,,,,,,,,,,,,
139842,00:02:19.842,m,blanket,1,blanket,,,,0,,,,,1,0,,
141607,00:02:21.607,m,you have your plate,1,plate,,,,2,you,your,,,1,0,,
143650,00:02:23.650,m,and what else is in here?,0,,,,,0,,,,,1,1,,
145917,00:02:25.917,m,hmm?,0,,,,,0,,,,,0,2,,
147492,,c,berry,,,,,,,,,,,,,,
148580,00:02:28.580,m,a berry,1,berry,,,,0,,,,,0,0,,
149192,00:02:29.192,m,very good,0,,,,,0,,,,,1,1,,
149974,00:02:29.974,m,where does the berry go?,1,berry,,,,0,,,,,0,1,,
154734,00:02:34.734,m,yay,0,,,,,0,,,,,1,0,,
157182,00:02:37.182,m,alright,0,,,,,0,,,,,1,1,,
158211,00:02:38.211,m,now what else do you have?,0,,,,,1,you,,,,1,1,,
162182,00:02:42.182,m,hmm?,0,,,,,0,,,,,0,0,,
162792,00:02:42.792,m,what else is there for your picnic?,1,picnic,,,,1,your,,,,0,0,,
164535,00:02:44.535,m,[gasp],0,,,,,0,,,,,0,1,,
165308,00:02:45.308,m,cheese,1,cheese,,,,0,,,,,1,1,,
167824,00:02:47.824,m,cheese very good,1,cheese,,,,0,,,,,1,0,,
169796,00:02:49.796,m,and what else do you have?,0,,,,,1,you,,,,0,0,,
172788,00:02:52.788,m,[gasp],0,,,,,0,,,,,1,2,,
173400,00:02:53.400,m,orange,1,orange,,,,0,,,,,0,1,,
175236,00:02:55.236,m,yummy,0,,,,,0,,,,,0,0,,
176630,,c,c,,,,,,,,,,,,,,
177229,00:02:57.229,m,now how are you gonna eat?,0,,,,,0,,,,,0,0,,
178217,00:02:58.217,m,you need a fork,1,fork,,,,1,you,,,,1,0,,
178262,,c,c,,,,,,,,,,,,,,
180036,00:03:00.36,m,you need a fork,1,fork,,,,1,you,,,,0,0,,
180812,00:03:00.812,m,where is your fork?,1,fork,,,,1,your,,,,1,0,,
182113,,c,c,,,,,,,,,,,,,,
183328,00:03:03.328,m,yeah,0,,,,,0,,,,,1,0,,
184994,00:03:04.994,m,yay,0,,,,,0,,,,,0,0,,
187918,00:03:07.918,m,your picnic is all ready,1,picnic,,,,1,your,,,,0,2,,
189686,00:03:09.686,m,good girl,1,girl,,,,0,,,,,0,0,,
191352,00:03:11.352,m,good girl,1,girl,,,,0,,,,,1,2,,
192471,00:03:12.471,m,okay,0,,,,,0,,,,,1,0,,
193902,,c,c,,,,,,,,,,,,,,
193974,00:03:13.974,m,what are we going to do now?,0,,,,,1,we,,,,1,0,,
194616,00:03:14.616,m,you want to play with it?,0,,,,,2,you,it,,,0,0,,
195772,,c,Mom,,,,,,,,,,,,,,
196662,00:03:16.662,m,alright,0,,,,,0,,,,,0,2,,
199104,00:03:19.104,m,you want to play with,0,,,,,1,you,,,,1,0,,
205620,00:03:25.620,m,do you want to play with the horses?,1,horses,,,,1,you,,,,0,0,,
208896,,c,Mama,,,,,,,,,,,,,,
209814,00:03:29.814,m,hmm?,0,,,,,0,,,,,0,0,,
210154,,c,this is,,,,,,,,,,,,,,
212494,,c,xxx Mama,,,,,,,,,,,,,,
214948,,c,b,,,,,,,,,,,,,,
217752,,c,b,,,,,,,,,,,,,,
219232,00:03:39.232,m,what are you saying?,0,,,,,1,you,,,,1,0,,
221895,00:03:41.895,m,oh are you going to show them baby?,1,baby,,,,2,you,them,,,0,1,,
223584,00:03:43.584,m,you want to show them the things we do with baby?,1,baby,,,,3,you,them,we,,1,1,,
226712,00:03:46.712,m,okay,0,,,,,0,,,,,1,0,,
228470,00:03:48.470,m,hold on,0,,,,,0,,,,,1,1,,
229296,,c,hello,,,,,,,,,,,,,,
230273,00:03:50.273,m,[laugh],0,,,,,0,,,,,1,1,,
230588,00:03:50.588,m,hello,0,,,,,0,,,,,1,0,,
231302,00:03:51.302,m,[laugh],0,,,,,0,,,,,0,0,,
235675,00:03:55.675,m,you want to draw?,0,,,,,1,you,,,,1,0,,
236659,00:03:56.659,m,what are you doing?,0,,,,,1,you,,,,1,1,,
237354,,c,b,,,,,,,,,,,,,,
238578,00:03:58.578,m,draw?,0,,,,,0,,,,,1,0,,
239156,00:03:59.156,m,okay,0,,,,,0,,,,,1,0,,
244271,00:04:04.271,m,okay bunny,1,bunny,,,,0,,,,,0,0,,
245402,,c,b,,,,,,,,,,,,,,
246500,,c,c,,,,,,,,,,,,,,
246738,00:04:06.738,m,alright what do we want to draw?,0,,,,,1,we,,,,1,0,,
249512,00:04:09.512,m,[laugh],0,,,,,0,,,,,0,2,,
251451,00:04:11.451,m,[laugh],0,,,,,0,,,,,0,2,,
253313,00:04:13.313,m,I think he doesn't want to play sweetheart,1,sweatheart,,,,2,i,he,,,1,0,,
255855,,c,b,,,,,,,,,,,,,,
255863,00:04:15.863,m,come on,0,,,,,0,,,,,0,0,,
256972,00:04:16.972,m,I know you love attention but,1,attention,,,,2,i,you,,,0,1,,
258706,00:04:18.706,m,he is he is working,0,,,,,1,he,,,,1,1,,
260949,00:04:20.949,m,he is working,0,,,,,1,he,,,,0,0,,
262991,00:04:22.991,m,he is working you can't win over the crowd,1,crowd,,,,2,he,you,,,0,0,,
265200,00:04:25.200,m,come on you want to do the stamps?,1,stamps,,,,1,you,,,,0,1,,
267791,00:04:27.791,m,stamps?,1,stamps,,,,0,,,,,0,0,,
269416,,c,stamp,,,,,,,,,,,,,,
270266,00:04:30.266,m,okay hold on I have to get the ink,1,ink,,,,1,i,,,,0,0,,
273304,00:04:33.304,m,alright,0,,,,,0,,,,,0,0,,
274289,00:04:34.289,m,which one is that?,0,,,,,1,that,,,,0,2,,
275774,00:04:35.774,m,is that the sheep?,1,sheep,,,,1,that,,,,1,2,,
280350,,c,sheep,,,,,,,,,,,,,,
281180,00:04:41.180,m,there we go,0,,,,,1,we,,,,2,3,,
282472,00:04:42.472,m,hold on I got the ink,1,ink,,,,1,i,,,,0,0,,
285532,00:04:45.532,m,alright,0,,,,,0,,,,,0,0,,
286484,00:04:46.484,m,sheep,1,sheep,,,,0,,,,,0,0,,
288014,00:04:48.14,m,where did it go?,0,,,,,1,it,,,,0,0,,
290700,00:04:50.700,m,let's go,0,,,,,0,,,,,0,0,,
