Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
387906,00:06:27.906,m,two,1,two,,,,0,,,,,,,
389878,00:06:29.878,m,yeah,0,,,,,0,,,,,,,
390320,00:06:30.320,m,three is next?,1,three,,,,0,,,,,,,
391408,00:06:31.408,m,three?,1,three,,,,0,,,,,,,
392768,00:06:32.768,m,let's see,0,,,,,0,,,,,,,
393108,00:06:33.108,m,is that enough?,0,,,,,1,that,,,,,,
400996,00:06:40.996,m,oh,0,,,,,0,,,,,,,
401200,00:06:41.200,m,thank you,0,,,,,0,,,,,,,
402628,00:06:42.628,m,can you get that towel?,1,towel,,,,2,you,that,,,,,
407150,00:06:47.150,m,sweet,0,,,,,0,,,,,,,
409700,00:06:49.700,m,okay,0,,,,,0,,,,,,,
410686,00:06:50.686,m,hmm,0,,,,,0,,,,,,,
412216,00:06:52.216,m,I forgot the milk,1,milk,,,,1,i,,,,,,
417554,00:06:57.554,m,hmm,0,,,,,0,,,,,,,
417928,00:06:57.928,m,I'm gonna use Batman,1,batman,,,,1,i,,,,,,
420818,00:07:00.818,m,yeah,0,,,,,0,,,,,,,
421328,00:07:01.328,m,Batman,1,batman,,,,0,,,,,,,
435914,00:07:15.914,m,up up up,0,,,,,0,,,,,,,
438838,00:07:18.838,m,okay,0,,,,,0,,,,,,,
439416,00:07:19.416,m,ready?,0,,,,,0,,,,,,,
443122,00:07:23.122,m,[sound effect of engine],0,,,,,0,,,,,,,
444686,00:07:24.686,m,get your feet,1,feet,,,,1,your,,,,,,
445536,00:07:25.536,m,get your feet,1,feet,,,,1,your,,,,,,
446318,00:07:26.318,m,where's your foot?,1,foot,,,,1,your,,,,,,
447100,00:07:27.100,m,where's your foot?,1,foot,,,,1,your,,,,,,
447610,00:07:27.610,m,okay,0,,,,,0,,,,,,,
456144,00:07:36.144,m,uhoh,0,,,,,0,,,,,,,
458150,00:07:38.150,m,try again,0,,,,,0,,,,,,,
463182,00:07:43.182,m,that's alright,0,,,,,0,,,,,,,
463658,00:07:43.658,m,we'll clean it up in a minute,1,minute,,,,2,we,it,,,,,
464780,00:07:44.780,m,can you hit the,0,,,,,1,you,,,,,,
465868,00:07:45.868,m,put the thing down?,1,thing,,,,0,,,,,,,
469506,00:07:49.506,m,okay,0,,,,,0,,,,,,,
470152,00:07:50.152,m,little button,1,button,,,,0,,,,,,,
470730,00:07:50.730,m,the little one,0,,,,,0,,,,,,,
472736,00:07:52.736,m,yeah,0,,,,,0,,,,,,,
474470,00:07:54.470,m,yeah,0,,,,,0,,,,,,,
474912,00:07:54.912,m,look at that,0,,,,,1,that,,,,,,
476000,00:07:56.0,m,yeah,0,,,,,0,,,,,,,
476272,00:07:56.272,m,you made coffee,1,coffee,,,,1,you,,,,,,
477394,00:07:57.394,m,yeah,0,,,,,0,,,,,,,
477768,00:07:57.768,m,you did,0,,,,,1,you,,,,,,
478210,00:07:58.210,m,you made coffee,0,,,,,0,,,,,,,
479842,00:07:59.842,m,gonna scooch this over,0,,,,,1,this,,,,,,
481236,00:08:01.236,m,okay,0,,,,,0,,,,,,,
483038,00:08:03.38,m,yeah,0,,,,,0,,,,,,,
483208,00:08:03.208,m,I know,0,,,,,1,i,,,,,,
483752,00:08:03.752,m,I might,0,,,,,1,i,,,,,,
484772,00:08:04.772,m,put another sugar in it,1,sugar,,,,1,it,,,,,,
487798,00:08:07.798,m,uh,0,,,,,0,,,,,,,
506634,00:08:26.634,m,no,0,,,,,0,,,,,,,
506906,00:08:26.906,m,no more,0,,,,,0,,,,,,,
508028,00:08:28.28,m,that's it,0,,,,,1,that,,,,,,
508606,00:08:28.606,m,there's only me here today,0,,,,,1,me,,,,,,
510850,00:08:30.850,m,well,0,,,,,0,,,,,,,
511122,00:08:31.122,m,Papa's home tomorrow from work so,3,papa,home,work,,0,,,,,,,
512958,00:08:32.958,m,you can do tomorrow too,1,tomorrow,,,,1,you,,,,,,
514352,00:08:34.352,m,can I have my leg back please?,1,leg,,,,2,i,my,,,,,
516188,00:08:36.188,m,can I have my leg back please?,1,leg,,,,2,i,my,,,,,
517752,00:08:37.752,m,okay,0,,,,,0,,,,,,,
518058,00:08:38.58,m,ah,0,,,,,0,,,,,,,
518398,00:08:38.398,m,thank you,0,,,,,0,,,,,,,
519724,00:08:39.724,m,all the way?,1,way,,,,0,,,,,,,
521492,00:08:41.492,m,oh,0,,,,,0,,,,,,,
521832,00:08:41.832,m,yeah,0,,,,,0,,,,,,,
522478,00:08:42.478,m,we love coffee,1,coffee,,,,1,we,,,,,,
523906,00:08:43.906,m,[scream],0,,,,,0,,,,,,,
524518,00:08:44.518,m,no screaming,0,,,,,0,,,,,,,
525028,00:08:45.28,m,sir,0,,,,,0,,,,,,,
527204,00:08:47.204,m,do you want to go to your room?,1,room,,,,2,you,your,,,,,
529074,00:08:49.74,m,no?,0,,,,,0,,,,,,,
530808,00:08:50.808,m,we only scream in our room,1,room,,,,2,we,our,,,,,
532406,00:08:52.406,m,if you wanna scream,0,,,,,1,you,,,,,,
533086,00:08:53.86,m,you can go to your room,1,room,,,,2,you,your,,,,,
535058,00:08:55.58,m,ah,0,,,,,0,,,,,,,
535602,00:08:55.602,m,xxx,0,,,,,0,,,,,,,
535806,00:08:55.806,m,what did I just say?,0,,,,,1,i,,,,,,
537608,00:08:57.608,m,alright,0,,,,,0,,,,,,,
538220,00:08:58.220,m,go to your room,1,room,,,,1,your,,,,,,
542334,00:09:02.334,m,off,0,,,,,0,,,,,,,
542674,00:09:02.674,m,off to your room,1,room,,,,1,your,,,,,,
544918,00:09:04.918,m,if you want to scream,0,,,,,1,you,,,,,,
545734,00:09:05.734,m,you have to go there,0,,,,,1,you,,,,,,
546516,00:09:06.516,m,you can stay here if you don't want to scream,0,,,,,1,you,,,,,,
548386,00:09:08.386,m,ah,0,,,,,0,,,,,,,
548760,00:09:08.760,m,you wanna scream,0,,,,,1,you,,,,,,
549202,00:09:09.202,m,go to your room,1,room,,,,1,your,,,,,,
552772,00:09:12.772,m,go to your room and sit down,1,room,,,,1,your,,,,,,
554846,00:09:14.846,m,go to your room and sit down,1,room,,,,1,your,,,,,,
